Year,White Alone,White Alone not Hispanic,Black Alone or in Combination,Black Alone,Asian Alone or in Combination,Asian Alone,Hispanic of any race
2013,29936,18796,11959,11041,1974,1785,12744
2012,30816,18940,11809,10911,2072,1921,13616
2011,30849,19171,11730,10929,2189,1973,13244
2010,31083,19251,11597,10746,2064,1899,13522
2009,29830,18530,10575,9944,1901,1746,12350
2008,26990,17024,9882,9379,1686,1576,10987
2007,25120,16032,9668,9237,1467,1349,9890
2006,24416,16013,9447,9048,1447,1353,9243
2005,24872,16227,9517,9168,1501,1402,9368
2004,25327,16908,9411,9014,1295,1201,9122
2003,24272,15902,9108,8781,1527,1401,9051
2002,23466,15567,8884,8602,1243,1161,8555
