State,Latitude,Longitude,2013,2013_percent,2012,2012_percent,2011,2011_percent,2010,2010_percent,2009,2009_percent,2008,2008_percent,2007,2007_percent,2006,2006_percent,2005,2005_percent,2004,2004_percent,2003,2003_percent,2002,2002_percent
Alabama,32.806671,-86.79113,796,16.7,777,16.2,732,15.4,808,17.2,770,16.6,675,14.3,662,14.5,650,14.3,750,16.7,762,16.9,663,15.0,640,14.5
Alaska,61.370716,-152.404419,76,10.9,70,10.0,83,11.7,86,12.5,81,11.7,55,8.2,51,7.6,58,8.9,66,10.0,59,9.1,62,9.6,56,8.8
Arizona,33.729759,-111.431221,1345,20.2,1260,19.0,1128,17.2,1241,18.8,1381,21.2,1172,18.0,912,14.3,902,14.4,917,15.2,830,14.4,749,13.5,735,13.5
Arkansas,34.969704,-92.373123,504,17.1,584,20.1,545,18.7,445,15.3,538,18.9,431,15.3,387,13.8,487,17.7,382,13.8,412,15.1,474,17.8,532,19.8
California,36.116203,-119.681564,5675,14.9,6015,15.9,6352,16.9,6077,16.3,5638,15.3,5344,14.6,4589,12.7,4427,12.2,4716,13.2,4724,13.2,4634,13.1,4605,13.1
Colorado,39.059811,-105.311104,560,10.6,613,11.9,661,13.2,617,12.3,613,12.3,541,11.0,478,9.8,466,9.7,530,11.4,450,10.0,436,9.7,436,9.8
Connecticut,41.597782,-72.755371,400,11.3,363,10.3,356,10.1,292,8.6,292,8.4,276,8.1,309,8.9,275,8.0,326,9.3,352,10.1,278,8.1,279,8.3
Delaware,39.318523,-75.507141,127,14.0,121,13.5,123,13.7,106,12.2,109,12.3,82,9.6,80,9.3,80,9.3,78,9.2,74,9.0,60,7.3,73,9.1
DC,38.897438,-77.026817,139,21.3,116,18.4,123,19.9,121,19.5,107,17.9,98,16.5,104,18.0,104,18.3,115,21.3,93,17.0,92,16.8,97,17.0
Florida,27.766279,-81.686783,2888,14.9,2926,15.3,2822,14.9,2962,16.0,2676,14.6,2370,13.1,2250,12.5,2068,11.5,1975,11.1,2028,11.6,2148,12.7,2058,12.6
Georgia,33.040619,-83.643074,1592,16.3,1752,18.1,1783,18.4,1836,18.8,1775,18.4,1477,15.5,1294,13.6,1172,12.6,1298,14.4,1132,13.0,1014,11.9,939,11.2
Hawaii,21.094318,-157.498337,152,11.1,188,13.8,162,12.1,152,12.4,156,12.5,125,9.9,94,7.5,116,9.2,110,8.6,106,8.6,117,9.3,138,11.3
