State,2013.00,2010.00,2007.00
Alabama,796.00,808.00,662.00
Alaska,76.00,86.00,51.00
Arizona,1345.00,1241.00,912.00
Arkansas,504.00,445.00,387.00
California,5675.00,6077.00,4589.00
Colorado,560.00,617.00,478.00
Connecticut,400.00,292.00,309.00
Delaware,127.00,106.00,80.00
DC,139.00,121.00,104.00
Florida,2888.00,2962.00,2250.00
Georgia,1592.00,1836.00,1294.00
Hawaii,152.00,152.00,94.00
Idaho,205.00,214.00,149.00
Illinois,1695.00,1817.00,1262.00
Indiana,743.00,1035.00,740.00
Iowa,330.00,305.00,264.00
Kansas,373.00,394.00,319.00
Kentucky,871.00,758.00,653.00
Louisiana,863.00,958.00,673.00
Maine,161.00,161.00,142.00
Maryland,611.00,620.00,491.00
Massachusetts,784.00,702.00,707.00
Michigan,1428.00,1511.00,1076.00
Minnesota,649.00,544.00,482.00
Mississippi,657.00,664.00,655.00
Missouri,824.00,885.00,742.00
Montana,145.00,136.00,122.00
Nebraska,202.00,182.00,174.00
Nevada,480.00,432.00,250.00
New Hampshire,119.00,85.00,76.00
New Jersey,984.00,931.00,742.00
New Mexico,454.00,376.00,271.00
New York,2825.00,3086.00,2757.00
North Carolina,1793.00,1609.00,1423.00
North Dakota,71.00,77.00,57.00
Ohio,1571.00,1739.00,1446.00
Oklahoma,518.00,597.00,476.00
Oregon,593.00,535.00,481.00
Pennsylvania,1576.00,1521.00,1273.00
Rhode Island,142.00,142.00,99.00
South Carolina,745.00,767.00,617.00
South Dakota,85.00,106.00,74.00
Tennessee,1170.00,1050.00,906.00
Texas,4425.00,4635.00,3903.00
Utah,239.00,283.00,255.00
Vermont,54.00,67.00,61.00
Virginia,854.00,832.00,664.00
Washington,819.00,774.00,661.00
West Virginia,315.00,304.00,265.00
Wisconsin,618.00,553.00,601.00
Wyoming,68.00,51.00,56.00
