state	percent
Alabama	0.167
Alaska	0.109
Arizona	0.202
Arkansas	0.171
California	0.149
Colorado	0.106
Connecticut	0.113
Delaware	0.14
D.C.	0.213
Florida	0.149
Georgia	0.163
Hawaii	0.111
Idaho	0.129
Illinois	0.133
Indiana	0.116
Iowa	0.108
Kansas	0.132
Kentucky	0.2
Louisiana	0.192
Maine	0.123
Maryland	0.103
Massachusetts	0.119
Michigan	0.145
Minnesota	0.12
Mississippi	0.225
Missouri	0.137
Montana	0.145
Nebraska	0.11
Nevada	0.174
New Hampshire	0.09
New Jersey	0.111
New Mexico	0.217
New York	0.145
North Carolina	0.186
North Dakota	0.099
Ohio	0.137
Oklahoma	0.14
Oregon	0.151
Pennsylvania	0.124
Rhode Island	0.135
South Carolina	0.159
South Dakota	0.103
Tennessee	0.181
Texas	0.168
Utah	0.083
Vermont	0.087
Virginia	0.104
Washington	0.12
West Virginia	0.173
Wisconsin	0.11
Wyoming	0.118
